Lockdown Time,Lockup Time,cost,status£¨0 for unstable£¬1 for stable£©
2019/6/20 9:01,2019/6/20 9:31,0,1
2019/6/20 9:03,2019/6/20 10:42,5,1
2019/6/20 9:04,2019/6/20 13:24,5,1
2019/6/20 9:08,2019/6/20 11:18,5,1
2019/6/20 9:09,2019/6/20 17:08,10,1
2019/6/20 9:14,2019/6/20 9:15,0,1
2019/6/20 9:22,2019/6/20 9:22,0,1
2019/6/20 9:34,2019/6/20 13:03,5,1
2019/6/20 9:36,2019/6/20 19:12,10,1
2019/6/20 9:38,2019/6/20 18:53,10,1
2019/6/20 9:45,2019/6/20 16:33,10,1
2019/6/20 9:46,2019/6/20 11:31,5,1
2019/6/20 9:50,2019/6/20 17:29,10,1
2019/6/20 9:52,2019/6/20 13:22,5,1
2019/6/20 9:57,2019/6/20 13:15,5,1
2019/6/20 10:05,2019/6/20 11:16,5,1
2019/6/20 10:22,2019/6/20 11:50,5,1
2019/6/20 10:28,2019/6/20 19:08,10,1
2019/6/20 10:39,2019/6/20 17:48,10,1
2019/6/20 10:41,2019/6/20 17:42,10,1
2019/6/20 10:48,2019/6/20 16:34,10,1
2019/6/20 10:51,2019/6/20 18:06,10,1
2019/6/20 11:00,2019/6/20 13:15,5,1
2019/6/20 11:18,2019/6/20 12:38,5,1
2019/6/20 11:22,2019/6/20 15:12,5,1
2019/6/20 12:40,2019/6/20 17:06,5,1
2019/6/20 12:57,2019/6/20 16:32,5,1
2019/6/20 13:22,2019/6/20 17:21,5,1
2019/6/20 13:30,2019/6/20 13:57,0,1
2019/6/20 14:10,2019/6/20 20:19,10,1
2019/6/20 14:15,2019/6/20 23:12,10,1
2019/6/20 14:25,2019/6/20 16:02,5,1
2019/6/20 14:55,2019/6/20 15:08,0,1
2019/6/20 15:30,2019/6/20 18:10,5,1
2019/6/20 15:52,2019/6/20 18:33,5,1
2019/6/20 15:58,2019/6/20 23:27,10,1
2019/6/20 16:07,2019/6/20 16:15,0,1
2019/6/21 7:27,2019/6/21 20:04,10,1
2019/6/21 8:05,2019/6/21 17:52,10,1
2019/6/21 8:18,2019/6/21 8:19,0,1
2019/6/21 8:19,2019/6/21 17:57,10,1
2019/6/21 8:20,2019/6/21 12:50,5,1
2019/6/21 8:24,2019/6/21 8:30,0,1
2019/6/21 8:25,2019/6/21 11:46,5,1
2019/6/21 8:27,2019/6/21 8:28,0,1
2019/6/21 8:27,2019/6/21 12:26,5,1
2019/6/21 8:29,2019/6/21 11:29,5,1
2019/6/21 8:31,2019/6/21 18:13,10,1
2019/6/21 8:32,2019/6/21 18:51,10,1
2019/6/21 8:32,2019/6/21 8:33,0,1
2019/6/21 8:33,2019/6/21 18:12,10,1
2019/6/21 8:35,2019/6/21 17:13,10,1
2019/6/21 8:36,2019/6/21 18:25,10,1
2019/6/21 8:36,2019/6/21 17:41,10,1
2019/6/21 8:39,2019/6/21 16:26,10,1
2019/6/21 8:39,2019/6/21 18:01,10,1
2019/6/21 8:41,2019/6/21 12:02,5,1
2019/6/21 8:42,2019/6/21 17:32,10,1
2019/6/21 8:42,2019/6/21 18:13,10,1
2019/6/21 8:44,2019/6/21 18:06,10,1
